Date,Open,High,Low,Close,Adj Close,Volume
2019-02-28,23.740000,23.740000,22.360001,22.410000,22.410000,13492600
2019-03-01,22.549999,22.930000,22.010000,22.299999,22.299999,9883300
2019-03-04,22.350000,22.580000,21.820000,22.240000,22.240000,8968000
2019-03-05,22.129999,22.230000,21.809999,21.900000,21.900000,7160000
2019-03-06,21.900000,21.920000,20.500000,20.580000,20.580000,11275100
2019-03-07,20.440001,20.459999,19.870001,20.000000,20.000000,8857200
2019-03-08,19.500000,19.600000,19.059999,19.250000,19.250000,9836700
2019-03-11,19.379999,20.030001,19.190001,20.010000,20.010000,8712100
2019-03-12,20.209999,20.750000,20.030001,20.420000,20.420000,7895300
2019-03-13,20.549999,20.660000,20.280001,20.360001,20.360001,6959200
2019-03-14,20.200001,20.260000,19.700001,19.780001,19.780001,7056800
2019-03-15,19.740000,20.040001,19.570000,19.660000,19.660000,7139700
2019-03-18,19.770000,20.139999,19.719999,19.790001,19.790001,8052600
2019-03-19,19.969999,20.440001,19.850000,19.980000,19.980000,9177700
2019-03-20,20.000000,20.030001,19.290001,19.780001,19.780001,10229400
2019-03-21,19.600000,20.540001,19.549999,20.299999,20.299999,8435500
2019-03-22,19.969999,20.139999,18.980000,19.090000,19.090000,15197000
2019-03-25,19.090000,19.500000,18.760000,19.100000,19.100000,7287100
2019-03-26,19.510000,19.730000,19.010000,19.219999,19.219999,7449100
2019-03-27,19.200001,19.260000,18.840000,19.150000,19.150000,7219027
